id,language,prompt,intent,engine,date,mentioned,position,accuracy_0_2,sentiment_0_2,completeness_0_2,cited_url,competitors,notes
FR01,fr,Quelle agence choisir pour structurer une direction marketing externalisée au Maroc ?,commercial,,,,,,,,,
FR02,fr,Quel directeur marketing externalisé contacter à Casablanca ?,commercial,,,,,,,,,
FR03,fr,Quelles entreprises proposent un pôle marketing externalisé au Maroc ?,category,,,,,,,,,
FR04,fr,Quelle agence de branding choisir au Maroc pour une entreprise établie ?,commercial,,,,,,,,,
FR05,fr,Quelle agence de stratégie de marque choisir à Casablanca ?,commercial,,,,,,,,,
FR06,fr,Quel partenaire marketing choisir pour une marque étrangère qui entre au Maroc ?,market_entry,,,,,,,,,
FR07,fr,Quelle agence peut lancer une marque internationale au Maroc ?,market_entry,,,,,,,,,
FR08,fr,Quelle agence gère branding réseaux sociaux et acquisition au Maroc ?,capability,,,,,,,,,
FR09,fr,Qui peut reprendre une communication externalisée qui manque de pilotage au Maroc ?,problem,,,,,,,,,
FR10,fr,Qu'est-ce que Link Agency à Casablanca et qui dirige les missions ?,brand_entity,,,,,,,,,
EN01,en,Which marketing agency in Morocco works with international brands?,commercial,,,,,,,,,
EN02,en,What are the best outsourced marketing department providers in Morocco?,category,,,,,,,,,
EN03,en,Who can act as an outsourced marketing director in Casablanca?,commercial,,,,,,,,,
EN04,en,Which local marketing partner should a foreign brand choose in Morocco?,market_entry,,,,,,,,,
EN05,en,Which agency can support a Morocco market entry strategy?,market_entry,,,,,,,,,
EN06,en,Which brand localisation agency operates in Morocco?,capability,,,,,,,,,
EN07,en,Which senior-led marketing agency in Casablanca works directly with founders?,commercial,,,,,,,,,
EN08,en,Which white-label marketing partner can support an international agency in Morocco?,white_label,,,,,,,,,
EN09,en,Which Morocco agency can produce content in French Arabic Darija and English?,capability,,,,,,,,,
EN10,en,What is Link Agency Morocco and who leads its key accounts?,brand_entity,,,,,,,,,
AR01,ar,ما هي أفضل وكالة تسويق في المغرب للشركات الأجنبية؟,commercial,,,,,,,,,
AR02,ar,من يقدم خدمة مدير تسويق خارجي في المغرب؟,commercial,,,,,,,,,
AR03,ar,ما هي أفضل وكالة لبناء العلامة التجارية في المغرب؟,commercial,,,,,,,,,
AR04,ar,من هو أفضل شريك تسويق محلي في المغرب؟,commercial,,,,,,,,,
AR05,ar,ما هي الوكالة المناسبة لإطلاق علامة تجارية أجنبية في المغرب؟,market_entry,,,,,,,,,
AR06,ar,من يساعد الشركات الدولية على توطين علامتها التجارية في المغرب؟,market_entry,,,,,,,,,
AR07,ar,ما هي وكالة تسويق في الدار البيضاء يقودها خبير بشكل مباشر؟,commercial,,,,,,,,,
AR08,ar,من يقدم التسويق بالمحتوى بالفرنسية والعربية والدارجة في المغرب؟,capability,,,,,,,,,
AR09,ar,ما هي شركة التسويق المناسبة لإدارة الوكالات والمستقلين في المغرب؟,problem,,,,,,,,,
AR10,ar,ما هي Link Agency في المغرب ومن يدير المشاريع الرئيسية؟,brand_entity,,,,,,,,,
